Company,Reporting_Year,Scope_1_Value,Scope_1_Unit,Scope_2_Market_Value,Scope_2_Market_Unit,Assurance_Present,Target_2030_Pct,Target_Base_Year,Action_Plan_Summary,Flags
Amazon,2021,12.11,MMT CO2e,4.07,MMT CO2e,False,50%,,"Investing in renewable energy, deploying electric vehicles, and decarbonizing the supply chain.",
Amazon,2022,13.4,MMT CO2e,2.89,MMT CO2e,False,,,"Investing in renewable energy, deploying electric vehicles, and improving energy efficiency.",
Amazon,2023,14.27,MMT CO2e,2.79,MMT CO2e,False,,,"Investing in renewable energy projects, improving energy efficiency, and transitioning to carbon-free energy to achieve net-zero carbon emissions by 2040.",
BP,2021,33.2,MMT CO2e,2.4,MMT CO2e,True,50%,2019.0,"Investing in divestments, delivery of SERs, and other permanent operational changes to reduce emissions.",
BP,2022,30.4,MMT CO2e,1.5,MMT CO2e,True,50%,2019.0,"Implementing energy efficiency measures, electrifying facilities, reducing flaring and venting, managing methane, and investing in carbon capture and storage.",
BP,2023,31.1,MMT CO2e,1.0,MMT CO2e,True,20-30%,2019.0,"Investing in renewable energy, optimizing portfolio, and enhancing operational efficiency to reduce emissions.",
Coca Cola,2021,1.61,MMT CO2e,3.56,MMT CO2e,True,25%,2015.0,"Investing in renewable energy, increasing packaging recycling, and engaging suppliers to reduce emissions.",
Coca Cola,2022,1.65,MMT CO2e,3.91,MMT CO2e,True,25%,2015.0,"We are working to reduce our carbon footprint by incorporating more recycled material, lightweighting our packaging, investing in recycling infrastructure, and using more reusable packaging. We are also increasing renewable energy generation at system bottling plants and replacing older equipment with more energy-efficient options.",
Coca Cola,2023,0.29,MMT CO2e,3.34,MMT CO2e,True,25%,2015.0,Investing in renewable energy and improving energy efficiency to achieve GHG reduction targets.,
ENGIE,2021,38.6,MMT CO2e,2.3,MMT CO2e,True,52% reduction,2017.0,"The Group plans to withdraw from coal by 2027, accelerate renewable energy development, and help customers reduce emissions by 45 Mt by 2030.",
ENGIE,2022,31.0,MMT CO2e,0.0019,MMT CO2e,True,55%,1990.0,"Accelerating development in renewable energies and green hydrogen, improving operational performance, and achieving Net Zero Carbon by 2045.",
ENGIE,2023,28.0,MMT CO2e,N/A,N/A,True,,,"ENGIE plans to phase out coal by 2025 in Europe, invest in renewable energy to reach 58% capacity by 2030, and develop renewable gases and hydrogen infrastructure.",
Intel,2021,2.18,MMT CO2e,1.09,MMT CO2e,True,10% reduction,2020.0,"Drive reductions through abatement, investments in renewable electricity, process and equipment optimization, and energy conservation.",
Intel,2022,1.19,MMT CO2e,0.35,MMT CO2e,True,10%,2019.0,"Achieve net-zero GHG emissions by 2040 through renewable electricity, energy conservation, and sustainable manufacturing.",
Intel,2023,0.85,MMT CO2e,0.05,MMT CO2e,True,10% reduction,2019.0,"Investing in energy conservation projects, collaborating with technology partners to reduce emissions, and implementing renewable electricity purchases.",
Nestle,2021,3.0,MMT CO2e,1.61,MMT CO2e,True,50%,2018.0,"Investing in renewable energy, reducing emissions through regenerative agriculture, and achieving 100% deforestation-free supply chains by 2022 for certain products.",
Nestle,2022,0.11,MMT CO2e,0.11,MMT CO2e,True,50%,2018.0,"Focus on renewable energy, regenerative agriculture, and reducing emissions in supply chain.",
Nestle,2023,3.16,MMT CO2e,0.31,MMT CO2e,True,50%,2018.0,"Investing in renewable energy, reducing GHG emissions through efficiency measures, and collaborating with suppliers to increase regenerative agricultural practices.",
SSE,2021,7.1,MMT CO2e,0.54,MMT CO2e,True,40% reduction,2017.0,"SSE is investing in renewable energy, carbon capture and storage, and hydrogen infrastructure to achieve net zero emissions by 2050.",
SSE,2022,5.75,MMT CO2e,0.49,MMT CO2e,True,80%,2017.0,"SSE plans to reduce emissions from electricity generation, invest in renewable energy, and develop carbon capture and hydrogen technologies.",
SSE,2023,6.0,MMT CO2e,4.4,MMT CO2e,True,80%,2017.0,"SSE aims to achieve net zero across scope 1 and 2 emissions by 2040, investing in renewable energy and implementing energy efficiency measures.",
Shell,2021,8.0,MMT CO2e,8.0,MMT CO2e,True,50%,2016.0,"In 2021, Shell set a target to reduce absolute emissions from operations by 50% by 2030 compared with 2016 levels. The company is investing in renewable energy and working with customers to achieve net-zero emissions.",
Shell,2022,51.0,MMT CO2e,7.0,MMT CO2e,True,50%,2016.0,"Investing in renewable energy solutions, reducing energy use, and increasing energy efficiency.",Warning: High S1
Shell,2023,57.0,MMT CO2e,7.0,MMT CO2e,True,50%,2016.0,"Reducing operational emissions, focusing on energy transition, and investing in renewable energy.",
